Processing Log
Voxel128: 1.558919162206915e-05

glass_box: glass_box_0047
Slice64: 0.005572314627741839
Slice128: 0.0027048769047052588
Voxel64: 0.0036411813433404982
Voxel128: 0.002044141827768498

glass_box: glass_box_0035
Slice64: 0.00769120758098378
Slice128: 0.0074880780571380135
Voxel64: 0.0069353610449342995
Voxel128: 0.006505111592491892

glass_box: glass_box_0073
Slice64: 0.00950531254471722
Slice128: 0.004116667540538844
Voxel64: 0.014737914216959752
Voxel128: 8.52269857321719e-09

glass_box: glass_box_0041
Slice64: 0.0059220912349537995
Slice128: 0.003378969937685109
Voxel64: 0.0007396501774832419
Voxel128: 0.00025755516901728126

glass_box: glass_box_0023
Slice64: 0.006290679105351123
Slice128: 0.002421740391699247
Voxel64: 1.6056673104421433e-05
Voxel128: 1.6056673104421433e-05

glass_box: glass_box_0002
Slice64: 0.0053446153545214856
Slice128: 0.002718612665583588
Voxel64: 0.0006797993021184589
Voxel128: 1.4174197548768478e-05

glass_box: glass_box_0137
Slice64: 0.004963882986135152
Slice128: 0.002469485168747429
Voxel64: 4.090945000129699e-05
Voxel128: 4.090945000129699e-05

glass_box: glass_box_0141
Slice64: 0.006840349976280957
Slice128: 0.002576829855846302
Voxel64: 2.463833071954263e-05
Voxel128: 2.463833071954263e-05

glass_box: glass_box_0004
Slice64: 0.005728738365603621
Slice128: 0.002508392789158955
Voxel64: 0.002202557644036308
Voxel128: 1.3786012517402792e-05

glass_box: glass_box_0070
Slice64: 0.008927068998976079
Slice128: 0.007168323867604923
Voxel64: 0.0051553715561561565
Voxel128: 0.004848987501888707

glass_box: glass_box_0135
Slice64: 0.005759789246708534
Slice128: 0.002716236320874266
Voxel64: 0.0023501941320136855
Voxel128: 1.4166178497827497e-05

glass_box: glass_box_0021
Slice64: 0.004434191373886917
Slice128: 0.0023993759403675577
Voxel64: 1.2484213956546298e-05
Voxel128: 1.2484213956546298e-05

glass_box: glass_box_0083
Slice64: 0.006030180776265631
Slice128: 0.002768683274842266
Voxel64: 1.0162838725867305e-07
Voxel128: 1.0162838725867305e-07

glass_box: glass_box_0064
Slice64: 0.005388205108509198
Slice128: 0.002376147881720683
Voxel64: 0.0003755272100126986
Voxel128: 1.4002390644262116e-05

glass_box: glass_box_0057
Slice64: 0.004858348500615062
Slice128: 0.002426822911361021
Voxel64: 1.2351108404221957e-05
Voxel128: 1.2351108404221957e-05

glass_box: glass_box_0099
Slice64: 0.005139830990013038
Slice128: 0.0026172231754234875
Voxel64: 7.868283523693002e-05
Voxel128: 1.5580837357845565e-05

glass_box: glass_box_0046
Slice64: 0.004425595924010543
Slice128: 0.002626905815024054
Voxel64: 6.61103112085378e-06
Voxel128: 6.61103112085378e-06

glass_box: glass_box_0092
Slice64: 0.00769120758098378
Slice128: 0.0074880780571380135
Voxel64: 0.0069353610449342995
Voxel128: 0.006505111592491892

glass_box: glass_box_0072
Slice64: 0.005388205108509198
Slice128: 0.002376147881720683
Voxel64: 0.0003755272100126986
Voxel128: 1.4002390644262116e-05

glass_box: glass_box_0151
Slice64: 0.005388205108509198
Slice128: 0.002376147881720683
Voxel64: 0.0003755272100126986
