Processing Log
Slice64: 0.005456044841781978
Slice128: 0.00231774519342996
Voxel64: 0.0005627337539180165
Voxel128: 1.5183442624644915e-05

glass_box: glass_box_0151
Slice64: 0.005456044841781978
Slice128: 0.00231774519342996
Voxel64: 0.0005627337539180165
Voxel128: 1.5183442624644915e-05

glass_box: glass_box_0058
Slice64: 0.006121261527546373
Slice128: 0.002488609575309202
Voxel64: 0.003473946646988842
Voxel128: 1.4960108545726912e-05

glass_box: glass_box_0067
Slice64: 0.0047965312884694225
Slice128: 0.0027898198809407607
Voxel64: 0.01640489690985653
Voxel128: 0.0009487705300147154

glass_box: glass_box_0133
Slice64: 0.00830201356298455
Slice128: 0.002711184874684681
Voxel64: 0.002013278739647187
Voxel128: 7.805863028305174e-06

glass_box: glass_box_0145
Slice64: 0.00516971159645193
Slice128: 0.002545004168496925
Voxel64: 1.983561363270397e-05
Voxel128: 1.983561363270397e-05

glass_box: glass_box_0017
Slice64: 0.005313771548071688
Slice128: 0.003191297791771729
Voxel64: 0.002826921124947504
Voxel128: 1.8011622465601772e-05

glass_box: glass_box_0168
Slice64: 0.008142669028613913
Slice128: 0.004560521756262098
Voxel64: 0.01132736434629211
Voxel128: 0.0059115961505994226

glass_box: glass_box_0164
Slice64: 0.005136304871101987
Slice128: 0.0028036920186345717
Voxel64: 0.004726931854228408
Voxel128: 0.002735635457309691

glass_box: glass_box_0123
Slice64: 0.008135455357000762
Slice128: 0.0036746069093068524
Voxel64: 3.656922136212155e-05
Voxel128: 3.656922136212155e-05

glass_box: glass_box_0042
Slice64: 0.0068524159999312955
Slice128: 0.002701843792918099
Voxel64: 0.0027131614479663107
Voxel128: 1.5183997733885785e-05

glass_box: glass_box_0085
Slice64: 0.005946392305305827
Slice128: 0.0028993565040229333
Voxel64: 0.0011789585704055278
Voxel128: 2.057031591257285e-05

glass_box: glass_box_0013
Slice64: 0.004818460780929165
Slice128: 0.0025084142691218186
Voxel64: 1.570973961119001e-05
Voxel128: 1.570973961119001e-05

glass_box: glass_box_0160
Slice64: 0.009727330882632584
Slice128: 0.0029356371819825463
Voxel64: 9.24336191663833e-09
Voxel128: 9.24336191663833e-09

glass_box: glass_box_0010
Slice64: 0.005961137889934512
Slice128: 0.003015003036719204
Voxel64: 0.00411328305263379
Voxel128: 0.0013921935707739623

glass_box: glass_box_0069
Slice64: 0.006004449321423852
Slice128: 0.0028621601234253232
Voxel64: 0.0046328456090820435
Voxel128: 0.004390450904396244

glass_box: glass_box_0077
Slice64: 0.006117367792079107
Slice128: 0.005953920069186801
Voxel64: 0.010746432276189537
Voxel128: 0.003648989930074814

glass_box: glass_box_0148
Slice64: 0.005716155689471999
Slice128: 0.0027782555653617447
Voxel64: 1.0779132984387216e-07
Voxel128: 1.0779132984387216e-07

glass_box: glass_box_0149
Slice64: 0.006121261527546373
Slice128: 0.002488609575309202
Voxel64: 0.003473946646988842
Voxel128: 1.4960108545726912e-05

glass_box: glass_box_0103
Slice64: 0.008142669028613913
Slice128: 0.004560521756262098
Voxel64: 0.01132736434629211
Voxel128: 0.0059115961505994226

glass_box: glass_box_0140
Slice64: 0.007248251222627372
Slice128: 0.002874436132913613
Voxel64: 3.847310804346793e-05
Voxel128: 3.847310804346793e-05

glass_box: glass_box_0079
Slice64: 0.00702502671851217
Slice128: 0.00710198948510839
Voxel64: 0.009050986163936998
Voxel128: 0.008009425451172083

glass_box: glass_box_0032
Slice64: 0.005944367067123873
Slice128: 0.003251054277213177
Voxel64: 0.002187337758401731
Voxel128: 0.00016457381022924987

glass_box: glass_box_0170
Slice64: 0.009094969333482755
Slice128: 0.006914566992895992
Voxel64: 0.01294511264134134
Voxel128: 0.005430103856958368

glass_box: glass_box_0095
Slice64: 0.010632546265204967
Slice128: 0.0025517149585438316
Voxel64: 0.003637361129068777
Voxel128: 0.0012840596668545086

glass_box: glass_box_0152
Slice64: 0.008233701240507029
